
Loading Cifar 10 Dataset...
Files already downloaded and verified
Files already downloaded and verified
Loaded Cifar 10!

========================================

Epoch [21/150] | Train iter [391/391] | acc_top1 = 41.25000 | acc_top5 = 85.00000 | loss = 2.12010

Epoch [21/150] | Validation | acc_top1 = 39.14161 | acc_top5 = 85.76939 | loss = 2.12199

========================================

Epoch [22/150] | Train iter [20/391] | acc_top1 = 32.03125 | acc_top5 = 79.68750 | loss = 2.11949
Epoch [22/150] | Train iter [70/391] | acc_top1 = 42.18750 | acc_top5 = 81.25000 | loss = 2.10982
Epoch [22/150] | Train iter [120/391] | acc_top1 = 40.62500 | acc_top5 = 85.93750 | loss = 2.11082
Epoch [22/150] | Train iter [170/391] | acc_top1 = 36.71875 | acc_top5 = 86.71875 | loss = 2.11066
Epoch [22/150] | Train iter [220/391] | acc_top1 = 42.18750 | acc_top5 = 84.37500 | loss = 2.10955
Epoch [22/150] | Train iter [270/391] | acc_top1 = 37.50000 | acc_top5 = 84.37500 | loss = 2.10914
Epoch [22/150] | Train iter [320/391] | acc_top1 = 32.03125 | acc_top5 = 75.00000 | loss = 2.10897
Epoch [22/150] | Train iter [370/391] | acc_top1 = 33.59375 | acc_top5 = 79.68750 | loss = 2.10692
Epoch [22/150] | Train iter [391/391] | acc_top1 = 45.00000 | acc_top5 = 91.25000 | loss = 2.10654

Epoch [22/150] | Validation | acc_top1 = 41.08979 | acc_top5 = 86.19463 | loss = 2.10661

========================================

Epoch [23/150] | Train iter [20/391] | acc_top1 = 39.84375 | acc_top5 = 81.25000 | loss = 2.09970
Epoch [23/150] | Train iter [70/391] | acc_top1 = 40.62500 | acc_top5 = 87.50000 | loss = 2.09990
Epoch [23/150] | Train iter [120/391] | acc_top1 = 38.28125 | acc_top5 = 85.93750 | loss = 2.09641
Epoch [23/150] | Train iter [170/391] | acc_top1 = 43.75000 | acc_top5 = 85.15625 | loss = 2.09396
Epoch [23/150] | Train iter [220/391] | acc_top1 = 41.40625 | acc_top5 = 89.06250 | loss = 2.09204
Epoch [23/150] | Train iter [270/391] | acc_top1 = 42.18750 | acc_top5 = 82.81250 | loss = 2.09177
Epoch [23/150] | Train iter [320/391] | acc_top1 = 47.65625 | acc_top5 = 83.59375 | loss = 2.09176
Epoch [23/150] | Train iter [370/391] | acc_top1 = 35.15625 | acc_top5 = 85.15625 | loss = 2.09154
Epoch [23/150] | Train iter [391/391] | acc_top1 = 31.25000 | acc_top5 = 83.75000 | loss = 2.09139

Epoch [23/150] | Validation | acc_top1 = 42.27650 | acc_top5 = 86.07595 | loss = 2.09048

========================================

Epoch [24/150] | Train iter [20/391] | acc_top1 = 44.53125 | acc_top5 = 85.93750 | loss = 2.09038
Epoch [24/150] | Train iter [70/391] | acc_top1 = 39.84375 | acc_top5 = 85.15625 | loss = 2.08250
Epoch [24/150] | Train iter [120/391] | acc_top1 = 46.09375 | acc_top5 = 89.84375 | loss = 2.08111
Epoch [24/150] | Train iter [170/391] | acc_top1 = 42.18750 | acc_top5 = 89.06250 | loss = 2.08131
Epoch [24/150] | Train iter [220/391] | acc_top1 = 45.31250 | acc_top5 = 82.81250 | loss = 2.08033
Epoch [24/150] | Train iter [270/391] | acc_top1 = 27.34375 | acc_top5 = 89.84375 | loss = 2.07872
Epoch [24/150] | Train iter [320/391] | acc_top1 = 40.62500 | acc_top5 = 78.12500 | loss = 2.07732
Epoch [24/150] | Train iter [370/391] | acc_top1 = 44.53125 | acc_top5 = 86.71875 | loss = 2.07726
Epoch [24/150] | Train iter [391/391] | acc_top1 = 33.75000 | acc_top5 = 81.25000 | loss = 2.07709

